vehicle_type,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),age_of_vehicle,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,road_type,speed_limit,urban_or_rural_area,sex_of_casualty
5,1,33,6,599,17,3,2,1,2,6,30,1,1
9,1,60,9,1995,11,3,2,1,1,6,30,1,1
9,1,45,7,1685,3,3,1,1,1,6,30,1,1
9,2,50,8,1149,12,3,2,3,4,6,40,1,2
9,2,50,8,1149,12,3,2,3,4,6,40,1,2
9,2,50,8,1149,12,3,2,3,4,6,40,1,2
9,1,90,11,1598,7,3,2,1,1,6,30,1,1
9,2,58,9,1332,18,3,2,2,1,6,20,1,2
9,1,57,9,1997,7,3,2,2,1,6,20,1,1
9,2,44,7,1900,10,3,2,1,3,6,30,1,2
9,2,42,7,1242,2,3,2,2,2,3,30,1,2
9,2,42,7,1242,2,3,2,2,2,3,30,1,2
19,1,52,8,1598,4,3,3,1,4,6,30,1,1
9,1,86,11,1388,10,3,2,1,3,6,30,1,2
9,1,60,9,1596,8,3,2,1,3,6,30,2,1
9,1,84,11,1840,15,3,2,1,4,6,30,1,2
5,1,47,8,1084,13,3,2,1,5,6,30,1,1
9,2,42,7,1229,3,3,3,2,3,6,30,1,2
9,1,22,5,1149,10,3,3,2,3,6,30,1,1
9,1,19,4,973,15,2,1,2,4,6,20,1,2
9,1,19,4,973,15,2,1,2,4,6,20,1,2
9,2,76,11,1339,2,3,2,1,6,6,30,1,2
9,1,22,5,1956,3,2,2,2,7,6,30,1,1
9,1,22,5,1956,3,2,2,2,7,6,30,1,1
9,1,21,5,1390,1,3,3,4,4,6,30,1,1
9,1,20,4,1796,8,3,3,4,4,6,30,1,1
9,1,20,4,1796,8,3,3,4,4,6,30,1,2
9,1,34,6,1495,13,3,3,4,4,6,30,1,1
5,1,48,8,781,13,3,2,1,4,6,30,1,1
9,2,28,6,1499,10,3,2,3,6,6,30,1,2
9,2,28,6,1499,10,3,2,3,6,6,30,1,1
9,2,28,6,1499,10,3,2,3,6,6,30,1,1
